,salary_id,employer_name,location_name,location_country,location_latitude,location_longitude,job_title,job_title_category,total_experience_years,employer_experience_years,annual_base_pay,signing_bonus,annual_bonus
298,1272,penn medicine,"philadelphia, pa",US,39.95,-75.16,senior software developer,Software,5.0,2.0,90000.0,0.0,0.0
299,1278,bloomberg,new york,US,38.0,-97.0,software engineer,Software,8.0,2.0,150000.0,21800.483568075117,20000.0
300,1279,elisa,"helsinki, finland",FI,64.0,26.0,senior software engineer,Software,13.0,11.0,48000.0,0.0,1000.0
301,1280,agl energy,"melbourne, australia",AU,-27.0,133.0,analyst,Data,3.0,1.0,90000.0,0.0,10000.0
302,1288,shadowfax,india,IN,20.0,77.0,business analyst,Data,3.0,1.0,25000.0,0.0,2500.0
303,1299,too small to say publicly,"dayton, oh",US,39.77,-84.19,research engineer,Engineering,7.0,1.0,119500.0,0.0,0.0
304,1301,Fraunhofer,germany,DE,51.0,9.0,post doc in computer science,Applied Science,7.0,7.0,60480.0,0.0,0.0
305,1309,oracle,california,US,38.0,-97.0,software architect,Software,13.0,1.0,400000.0,21800.483568075117,50000.0
306,1310,prominent consultancy,new york city,US,38.0,-97.0,mobile developer,Software,3.0,1.0,111000.0,5000.0,0.0
307,1323,red ratos brazil,brazil,BR,-10.0,-55.0,senior software engineer,Software,8.0,4.0,27000.0,21800.483568075117,4000.0
308,1324,small startup ~8 employees,"tel aviv, israel",IL,31.47,35.13,ruby engineer,Engineering,9.0,3.0,56000.0,0.0,0.0
309,1328,pzu s.a.,"warsaw, poland",PL,52.0,20.0,software developer,Software,3.0,1.0,27000.0,0.0,0.0
310,1332,microsoft,"seattle, wa",US,47.61,-122.33,senior applied scientist,Applied Science,6.0,6.0,155000.0,0.0,30000.0
311,1338,blink creative,"melbourne, australia",AU,-27.0,133.0,junior web developer,Web,4.0,1.0,38150.0,0.0,0.0
312,1342,craftsy,"denver, co",US,39.82,-105.1,lead engineer,Engineering,11.0,4.0,120000.0,0.0,0.0
313,1344,shutterstock,"new york, ny",US,40.71,-73.99,infrastructure engineer,Engineering,8.0,1.5,139000.0,21800.483568075117,10.0
314,1346,neuvoo,venezuela,VE,8.0,-66.0,full stack software engineer,Web,3.0,0.0,8400.0,0.0,0.0
315,1354,codechangers,"st. george, ut",US,38.0,-97.0,content manager,Management,3.0,0.0,45000.0,0.0,0.0
316,1355,bloomberg,"new york, ny",US,40.71,-73.99,software developer,Software,3.0,3.0,139000.0,5000.0,17000.0
317,1356,umbc imaging research center,"baltimore, md",US,39.3,-76.61,faculty research assistant,Other,2.0,1.0,42000.0,0.0,0.0
318,1357,rupeal,"lisbon, portugal",PT,39.5,-8.0,senior software developer,Software,9.0,2.0,40000.0,21800.483568075117,8066.263736263736
319,1359,hearst,new york,US,38.0,-97.0,software engineer,Software,10.0,2.0,150000.0,0.0,0.0
320,1366,murex,new york,US,38.0,-97.0,consultant,Other,4.0,4.0,100000.0,21800.483568075117,20000.0
321,1368,digitaslbi,new york city,US,38.0,-97.0,senior analyst,Data,2.0,0.0,90000.0,0.0,0.0
322,1369,google,new york city,US,38.0,-97.0,software engineer ii,Software,5.0,1.5,124000.0,10000.0,22000.0
323,1370,new york,"new york, ny",US,40.71,-73.99,grader,Other,1.0,1.0,6320.0,0.0,0.0
324,1372,salesforce,"san francisco, ca",US,37.77,-122.41,lead member of technical staff,Other,9.0,1.5,170000.0,25000.0,25000.0
325,1377,vmware,"palo alto, ca",US,37.44,-122.15,member of technical staff ii,Other,1.0,1.0,115000.0,33750.0,13800.0
326,1380,trade me ltd,new zealand,NZ,-41.0,174.0,developer,Software,8.0,5.0,89000.0,21800.483568075117,0.0
327,1381,a small cad compary,"centennial, co",US,39.69,-104.81,software engineer,Software,2.0,1.0,66500.0,0.0,0.0
328,1383,knewton,new york city,US,38.0,-97.0,senior software engineer,Software,2.5,2.5,140000.0,0.0,0.0
329,1386,a software company,poland,PL,52.0,20.0,team leader,Other,4.0,2.0,19000.0,0.0,500.0
330,1407,a non-profit research institute,"berlin, germany",DE,51.0,9.0,software engineer,Software,9.0,1.5,48160.0,0.0,0.0
331,1412,automotive,austin tx,US,38.0,-97.0,software test,Software,6.0,3.0,65000.0,0.0,7000.0
332,1426,bloomberg lp,"new york, ny",US,40.71,-73.99,senior software egnineer,Software,2.0,2.0,120000.0,0.0,20000.0
333,1428,startup,india,IN,20.0,77.0,web developer,Web,0.5,0.5,3609.0,21800.483568075117,8066.263736263736
334,1432,shutterstock,new york,US,38.0,-97.0,engineer,Engineering,5.0,3.0,100000.0,0.0,0.0
335,1434,harvard,"cambridge, ma",US,42.35,-71.06,research fellow,Other,5.0,2.0,62000.0,0.0,0.0
336,1441,oracle,"seattle, wa",US,47.61,-122.33,ux developer,Software,8.0,5.0,129500.0,0.0,0.0
337,1442,saic,"huntsville, al",US,34.7,-86.62,senior computer engineer,Engineering,25.0,8.0,119000.0,0.0,0.0
338,1443,city of carson city,"carson city, nv",US,39.14,-119.71,it systems technician,Other,4.0,1.0,46000.0,21800.483568075117,8066.263736263736
339,1446,intel,"folsom, ca",US,38.67,-121.14,software engineering manager,Management,16.0,2.0,160000.0,10000.0,25000.0
340,1458,kpmg,new york,US,38.0,-97.0,manager,Management,5.0,5.0,105000.0,0.0,10000.0
341,1459,hewlett packard enterprise,"roseville, ca",US,38.74,-121.25,software engineer,Software,4.0,19.0,125000.0,0.0,5700.0
342,1462,google,belgium,BE,50.83,4.0,operations engineer,Engineering,6.5,1.5,67500.0,0.0,13500.0
343,1465,intel,"folsom, ca",US,38.67,-121.14,software engineer,Software,15.0,3.0,135000.0,25000.0,15000.0
344,1467,lawrence livermore national laboratory,"livermore, ca",US,37.68,-121.75,ses.2,Other,4.0,3.0,120000.0,21800.483568075117,8066.263736263736
345,1474,austin ai startup,"austin, tx",US,30.26,-97.74,ui team lead,Management,5.0,1.5,90000.0,0.0,20000.0
346,1475,online loan company,chicago il,US,38.0,-97.0,sr software engineer,Software,6.0,2.0,92700.0,0.0,92700.0
347,1482,pre series a startup,"copenhagen, denmark",DK,56.0,10.0,lead software engineer,Software,5.0,1.0,108500.0,21800.483568075117,8066.263736263736
348,1488,d2l,"kitchener, canada",CA,60.0,-95.0,software developer,Software,3.0,3.0,70000.0,0.0,3.0
349,1490,fedex ground,"pittsburgh, pa",US,40.35,-79.9,engineer,Engineering,4.0,3.0,67000.0,0.0,1000.0
350,1491,icm,"sydney, australia",AU,-27.0,133.0,manager,Management,20.0,2.5,143000.0,0.0,7150.0
351,1492,tableau,"kirkland, wa",US,47.67,-122.18,software engineer,Software,1.0,1.0,86000.0,2400.0,10.0
352,1493,emc,ireland,IE,53.0,-8.0,senior engineer,Engineering,3.0,1.0,58000.0,21800.483568075117,6000.0
353,1495,garmin,"olathe, ks",US,38.88,-94.81,software engineer 2,Software,4.0,3.0,76000.0,4000.0,250.0
354,1501,amazon,"luxembourg, luxembourg",LU,49.75,6.17,product management intern,Other,0.0,0.5,24000.0,0.0,0.0
355,1502,fed govt,washington dc,US,38.0,-97.0,it program manager,Management,25.0,25.0,135000.0,0.0,0.0
356,1503,ngo,sweden,SE,62.0,15.0,lead engineer,Engineering,1.0,1.0,44000.0,0.0,0.0
357,1507,startup,"greenville, sc",US,34.83,-82.37,front-end engineer,Web,6.0,1.0,80000.0,21800.483568075117,8066.263736263736
358,1508,amazon,"seattle, wa",US,47.61,-122.33,sde1,Software,4.0,1.0,115000.0,50000.0,8066.263736263736
359,1514,rr donnelley,"chicago, il",US,41.85,-87.65,manager / productowner,Management,15.0,15.0,10800.0,0.0,10.0
360,1515,c3iot,"redwood city, ca",US,37.46,-122.24,senior software engineer,Software,10.0,2.0,130000.0,0.0,18.0
361,1517,freelancer/self-employed,sweden,SE,62.0,15.0,consultant,Other,12.0,4.0,61000.0,0.0,0.0
